member,ks,ratio,res_oof,res_test,smoothing
imp_xgb_tuned,0.0047724717544086,1.002930186390148,0.656549541561742,0.8123536121929653,0.15580407063122337
bei_identity_digit_raw12,0.0047395730683869,1.0031790628296278,1.0,1.0,0.0
cat_native,0.0047244712361714,1.0035329669088422,0.999939250964391,0.99998650025987,4.7249295479057096e-05
lat_encdrop_r400,0.0047239436897686,1.0057644557865602,0.9999681790765858,0.999993250129935,2.5071053349257078e-05
lexb_lgb02,0.0047190448256284,1.0030961793980038,1.0,1.0,0.0
ad_gcatseed7,0.0046983648162589,1.0024213747145905,1.0,1.0,0.0
latr1_xgb,0.0046903893319583,1.0018330152534016,0.6493073886737762,0.8194139762809566,0.17010658760718034
naji04,0.004681151065491,1.004064989224696,0.6926460399584013,0.7437985568777801,0.05115251691937872
bolt_cat_dual_seed81,0.0046260850719552,1.0026431834156797,0.6924348647393794,0.7442305485619402,0.05179568382256072
bolt_xgb_raw_bag,0.004623322929396,1.0045246526572795,0.7098654987423503,0.7376460503135315,0.0277805515711812
lat_ctraw_r400,0.0045918603880185,1.0033685730087536,0.9999913215663415,0.9999898751949025,-1.4463714390622329e-06
mkt_cat,0.0045571209912079,1.0021039649050434,1.0,1.0,0.0
altview,0.0045399212211275,1.0022656516292516,1.0,1.0,0.0
dkv_lgb,0.0045076987141806,1.002520183781412,1.0,1.0,0.0
latr1_lgbm,0.0045072236636971,1.002050402983817,1.0,1.0,0.0
qda_raw,0.0045014771520363,1.015010265128705,0.9939467925232401,0.9993317628635648,0.005384970340324702
golem_f,0.0044695163485242,1.0028526887205729,0.9999985535943903,1.0,1.4464056097285294e-06
bolt_lgb_raw_d4,0.0044680921831421,1.004784396769762,0.7226184570034236,0.7681318384621096,0.045513381458686
bolt_xgb_dd_d4,0.0044659461915452,1.0032863018744052,0.6370288514526975,0.689225857402245,0.05219700594954746
bolt_cat_dual_view,0.0044467143060823,1.002670006481202,0.6929107321849837,0.7447300389467503,0.051819306761766604
lat_lgbm,0.0044377720357626,1.0021272474932643,1.0,1.0,0.0
pub_cat,0.0044135589445963,1.0019858396288217,0.7079707073935916,0.7614764665780184,0.05350575918442679
bei_xgb_screen_relations_treatment110,0.0044000070014383,1.0039761090951218,0.6727160170618006,0.8967573624207734,0.2240413453589728
bolt_foldsafe_te_cat,0.004396068308851,1.002852299084659,0.6903043092762331,0.740730740933237,0.05042643165700389
bei_structural,0.0043898679471695,1.0039236841222086,0.9999985535943903,1.0,1.4464056097285294e-06
digit_cat,0.0043895297160679,1.0021193411318678,0.7077624249857891,0.7622797011157535,0.054517276129964376
bei_xgb_identity_digit_enhanced103,0.0043774696840953,1.0040314956895608,0.6729951733444803,0.8981309609790011,0.2251357876345208
bolt_cat_pair_evidence,0.0043700940367007,1.0030534604697128,0.7233850519765855,0.7800656087370318,0.056680556760446255
cat,0.0043659844809765,1.0042474999312982,1.0,1.0,0.0
dm_cat,0.0043451412138861,1.001965832961249,0.70598045327459,0.7598902471127431,0.053909793838153086
ad_gcatd8,0.0043440213871779,1.0020382171291282,1.0,1.0,0.0
lat_ctfix2000,0.0043415745716053,1.0026039384214744,1.0,1.0,0.0
xgb_cat_lattice,0.0043273431299354,1.0008449128837142,0.6599413627165812,0.9137670349845766,0.25382567226799535
bei_xgb_identity_digit_raw12,0.0043132502064179,1.0039658994916256,0.6788950618266077,0.8922551990874176,0.21336013726080982
lat_tedrop_r400,0.0042691135762796,1.0051812121133192,0.9999739646990247,0.999993250129935,1.928543091034296e-05
digit_lgbm,0.0042612694440526,1.0019068745180948,0.6977518517607819,0.746252134646408,0.048500282885626134
ram_hgb,0.0041875244563345,1.0023476238628448,1.0,1.0,0.0
ravi_realmlp1c,0.0041788447534795,1.0027032669440548,0.6540964376476238,0.7201098878846582,0.06601345023703442
bolt_lgb_pair_lattice,0.0041727982037682,1.0029869832074898,0.6695353711259834,0.7122462892589317,0.04271091813294836
bolt_xgb_dd_d6,0.0041699338225501,1.0027880020633837,0.6326881882178692,0.686637282232317,0.05394909401444781
bolt_xgb_dd_d5,0.0041689703608496,1.0030634261205034,0.6338337414607829,0.6861074174322145,0.05227367597143162
latmax_lgbm,0.0041557367126454,1.001972830050771,1.0,1.0,0.0
bolt_cat_unique,0.0041508999219767,1.0034109872305728,0.7406218676278514,0.7957455568980297,0.0551236892701783
bolt_foldsafe_te_xgb_10f,0.0041499879213122,1.003158252552921,0.6344759455515072,0.7178554312829478,0.0833794857314406
view_rank_lgbm,0.0041394393607957,1.0019551844162875,1.0,1.0,0.0
imp_cat,0.0041367102222268,1.0019237472965734,0.7035172245212036,0.7553813339093223,0.051864109388118695
pub_ryota,0.0041343811099839,1.0036941121273926,1.0,1.0,0.0
pubfe_xgb,0.0041224445073702,1.0025114289414836,0.6589737173636654,0.7399038818502743,0.08093016448660895
lgbm_fixed_lat_frac,0.0041198022648271,1.0023271700688172,1.0,1.0,0.0
bolt_xgb_hpo_d7,0.0041189104687945,1.002854852330045,0.6332103406429852,0.6889356129894499,0.05572527234646474
bolt_lgb_raw_d6,0.0040843053285651,1.0038675550049838,0.7154139106613111,0.7617262117704234,0.04631230110911233
lgbm_fixed_lat,0.0040628784751653,1.0023280828416066,1.0,1.0,0.0
lat_ctraw2000,0.0040609499457425,1.0023278932467623,1.0,1.0,0.0
bei_raw12,0.0040533594673157,1.0038363567403703,1.0,1.0,0.0
ad_gxgbd4,0.0040276622607594,1.002275368215787,0.6422633933543448,0.7879022078824982,0.14563881452815342
