a,b,dcv,dlb,sd,p_reverse,ga,gb,same,r,sd_pred,z
blend150fx_logit,blend156,-9.176762557472352e-05,-3.0000000000085517e-05,2.519438804884919e-05,0.0,logit,ens4,False,6.176762557463801e-05,2.5523006402511865e-05,2.4200764048140937
blend150fx_logit,blend156_h3,-9.628139258988087e-05,-2.000000000002e-05,3.1551338282379325e-05,0.002,logit,h3,False,7.628139258986087e-05,3.181436175810858e-05,2.3977030615872374
blend150fx_logit,blend156_rankraw,-8.624136308998942e-05,-1.0000000000065512e-05,3.796787185137302e-05,0.016,logit,rankraw,False,7.624136308992391e-05,3.8186724913102334e-05,1.9965410299893134
blend150fx_logit,blend156_rescale,-7.527776194471425e-05,-2.000000000002e-05,3.021373121849855e-05,0.004,logit,rescale,False,5.527776194469425e-05,3.0488296456350926e-05,1.8130813580822258
blend150fx_logit,blend156w,-9.682024335866402e-05,-2.000000000002e-05,3.106897825687977e-05,0.0,logit,w,False,7.682024335864401e-05,3.133605074978553e-05,2.451497285731508
blend150fx_logit,blend156w2,-9.66288572056273e-05,-2.000000000002e-05,3.106513005090865e-05,0.0,logit,w2,False,7.66288572056073e-05,3.1332235345511726e-05,2.4456875278955867
blend150fx_logit,blend158,-9.338960749150084e-05,-3.0000000000085517e-05,2.518963084692338e-05,0.0,logit,ens4,False,6.338960749141533e-05,2.5518310462703846e-05,2.4840832461875593
blend150fx_logit,blend158_h3,-9.848188172867368e-05,-2.000000000002e-05,3.1608865470494445e-05,0.0,logit,h3,False,7.848188172865368e-05,3.187141419828249e-05,2.4624536972345257
blend150fx_logit,blend158_hybrid,-7.849627257705549e-05,0.0,3.4472662073943986e-05,0.014,logit,hybrid,False,7.849627257705549e-05,3.471355782876487e-05,2.2612569119034736
blend150fx_logit,blend158_logit,-1.1552820430305031e-05,-3.0000000000085517e-05,1.3557872120289876e-05,0.17,logit,logit,True,-1.8447179569780488e-05,1.415918652666177e-05,-1.3028417653121824
blend150fx_logit,blend158_rankraw,-8.658287035756551e-05,-1.0000000000065512e-05,3.7925147209685e-05,0.01,logit,rankraw,False,7.65828703575e-05,3.8144245405341874e-05,2.0077175349436858
blend150fx_logit,blend158_rescale,-7.753595718529294e-05,-2.000000000002e-05,3.0337347650909797e-05,0.002,logit,rescale,False,5.7535957185272935e-05,3.061080412466861e-05,1.8795963984136534
blend150fx_logit,blend159,-9.354087034652014e-05,-3.0000000000085517e-05,2.5366608264562715e-05,0.0,logit,ens4,False,6.354087034643463e-05,2.569302398540211e-05,2.47307869959318
blend150fx_logit,blend159_h3,-9.709945726499304e-05,-2.000000000002e-05,3.194282215452151e-05,0.002,logit,h3,False,7.709945726497304e-05,3.220264824299481e-05,2.3941961755193484
